h2_p,N_causal_SNPs,vr,freq_r,k,N_samples,power,penetrance,mean_prs_cases,h2_poly_est
0.1,100,0.02,0.005,0.1,10000,0.71,0.54063156092,0.17289859064,0.09915308573
0.1,100,0.02,0.01,0.02,1000,0.02,0.13843231624,0.23134957564,0.0989248817
0.1,100,0.02,0.01,0.02,2000,0.06,0.13290299855,0.23305631006,0.09920932156
0.1,100,0.02,0.01,0.02,3000,0.1,0.13321386416,0.23210243088,0.09916512761
0.1,100,0.02,0.01,0.02,5000,0.18,0.13993491907,0.23391933248,0.09926895689
0.1,100,0.02,0.01,0.02,10000,0.29,0.13989144503,0.23502532999,0.09915308573
0.1,100,0.02,0.01,0.05,1000,0.08,0.24545106126,0.20010850213,0.0989248817
0.1,100,0.02,0.01,0.05,2000,0.11,0.2442156043,0.20198114003,0.09920932156
0.1,100,0.02,0.01,0.05,3000,0.18,0.24397862057,0.20158591814,0.09916512761
0.1,100,0.02,0.01,0.05,5000,0.27,0.25195912344,0.20118184285,0.09926895689
0.1,100,0.02,0.01,0.05,10000,0.49,0.25176889145,0.20181033153,0.09915308573
0.1,100,0.02,0.01,0.1,1000,0.07,0.37485003158,0.17054860815,0.0989248817
0.1,100,0.02,0.01,0.1,2000,0.15,0.37792165894,0.17291638197,0.09920932156
0.1,100,0.02,0.01,0.1,3000,0.25,0.37687781579,0.17197329298,0.09916512761
0.1,100,0.02,0.01,0.1,5000,0.37,0.38519033178,0.17225661775,0.09926895689
0.1,100,0.02,0.01,0.1,10000,0.66,0.38428039217,0.1728495246,0.09915308573
0.1,100,0.02,0.02,0.02,1000,0.06,0.08533525678,0.22742820315,0.0989248817
0.1,100,0.02,0.02,0.02,2000,0.08,0.08600213078,0.23291755721,0.09920932156
0.1,100,0.02,0.02,0.02,3000,0.1,0.08698818339,0.23236848348,0.09916512761
0.1,100,0.02,0.02,0.02,5000,0.13,0.0847165772,0.23619521227,0.09926895689
0.1,100,0.02,0.02,0.02,10000,0.2,0.08591594222,0.23640912656,0.09915308573
0.1,100,0.02,0.02,0.05,1000,0.07,0.16494949699,0.20375082157,0.0989248817
0.1,100,0.02,0.02,0.05,2000,0.14,0.16843001031,0.20286586889,0.09920932156
0.1,100,0.02,0.02,0.05,3000,0.18,0.17175606168,0.20259807573,0.09916512761
0.1,100,0.02,0.02,0.05,5000,0.23,0.1693581026,0.20272796398,0.09926895689
0.1,100,0.02,0.02,0.05,10000,0.32,0.16967921766,0.20353175994,0.09915308573
0.1,100,0.02,0.02,0.1,1000,0.1,0.2715282522,0.17192505655,0.0989248817
0.1,100,0.02,0.02,0.1,2000,0.15,0.28040061846,0.17379215533,0.09920932156
0.1,100,0.02,0.02,0.1,3000,0.22,0.28069162565,0.17270711422,0.09916512761
0.1,100,0.02,0.02,0.1,5000,0.28,0.27977379456,0.17266679442,0.09926895689
0.1,100,0.02,0.02,0.1,10000,0.43,0.28120380665,0.17380242548,0.09915308573
0.1,100,0.03,0.005,0.02,1000,0.14,0.32728282666,0.21468131834,0.0989248817
0.1,100,0.03,0.005,0.02,2000,0.18,0.33884570967,0.22202249789,0.09920932156
0.1,100,0.03,0.005,0.02,3000,0.23,0.34347376962,0.22171067835,0.09916512761
0.1,100,0.03,0.005,0.02,5000,0.36,0.3449882954,0.22488268685,0.09926895689
0.1,100,0.03,0.005,0.02,10000,0.72,0.34763189027,0.22451860365,0.09915308573
0.1,100,0.03,0.005,0.05,1000,0.11,0.50358558903,0.19748937944,0.0989248817
0.1,100,0.03,0.005,0.05,2000,0.24,0.50521776128,0.19914199448,0.09920932156
0.1,100,0.03,0.005,0.05,3000,0.37,0.50816295968,0.19841833691,0.09916512761
0.1,100,0.03,0.005,0.05,5000,0.54,0.51371202158,0.19831307954,0.09926895689
0.1,100,0.03,0.005,0.05,10000,0.89,0.51656500227,0.19795673746,0.09915308573
0.1,100,0.03,0.005,0.1,1000,0.21,0.67184304716,0.16890985979,0.0989248817
0.1,100,0.03,0.005,0.1,2000,0.3,0.67853304849,0.17225304951,0.09920932156
0.1,100,0.03,0.005,0.1,3000,0.41,0.66703032523,0.17080981506,0.09916512761
0.1,100,0.03,0.005,0.1,5000,0.58,0.666138647,0.17076922831,0.09926895689
0.1,100,0.03,0.005,0.1,10000,0.91,0.66729209247,0.17178813381,0.09915308573
0.1,100,0.03,0.01,0.02,1000,0.05,0.18633324161,0.22794924408,0.0989248817
0.1,100,0.03,0.01,0.02,2000,0.1,0.1828011861,0.22905040489,0.09920932156
0.1,100,0.03,0.01,0.02,3000,0.2,0.1840620959,0.22614942042,0.09916512761
0.1,100,0.03,0.01,0.02,5000,0.26,0.1906986144,0.22854088623,0.09926895689
0.1,100,0.03,0.01,0.02,10000,0.49,0.19176363214,0.22952105248,0.09915308573
0.1,100,0.03,0.01,0.05,1000,0.08,0.31969796245,0.20021416875,0.0989248817
0.1,100,0.03,0.01,0.05,2000,0.21,0.31822532977,0.19924219547,0.09920932156
0.1,100,0.03,0.01,0.05,3000,0.3,0.31784699437,0.19888760003,0.09916512761
0.1,100,0.03,0.01,0.05,5000,0.4,0.3274063398,0.19904488879,0.09926895689
0.1,100,0.03,0.01,0.05,10000,0.74,0.32868509897,0.19923794106,0.09915308573
0.1,100,0.03,0.01,0.1,1000,0.11,0.46630021219,0.16863367508,0.0989248817
0.1,100,0.03,0.01,0.1,2000,0.24,0.46431559025,0.17147556517,0.09920932156
0.1,100,0.03,0.01,0.1,3000,0.43,0.47128364884,0.17044140054,0.09916512761
0.1,100,0.03,0.01,0.1,5000,0.5,0.47472688035,0.17084793737,0.09926895689
0.1,100,0.03,0.01,0.1,10000,0.86,0.47368896797,0.1715862499,0.09915308573
0.1,100,0.03,0.02,0.02,1000,0.07,0.10953324083,0.22702698145,0.0989248817
0.1,100,0.03,0.02,0.02,2000,0.09,0.11008878694,0.22971053909,0.09920932156
0.1,100,0.03,0.02,0.02,3000,0.17,0.11337270414,0.22934021442,0.09916512761
0.1,100,0.03,0.02,0.02,5000,0.19,0.11026178345,0.23205787515,0.09926895689
0.1,100,0.03,0.02,0.02,10000,0.33,0.11148015893,0.23292106946,0.09915308573
0.1,100,0.03,0.02,0.05,1000,0.07,0.2074117737,0.20104128714,0.0989248817
0.1,100,0.03,0.02,0.05,2000,0.17,0.21165869612,0.2013879138,0.09920932156
0.1,100,0.03,0.02,0.05,3000,0.25,0.21450141716,0.20067619455,0.09916512761
0.1,100,0.03,0.02,0.05,5000,0.32,0.21065387223,0.20057253648,0.09926895689
0.1,100,0.03,0.02,0.05,10000,0.52,0.2117397058,0.20195304193,0.09915308573
0.1,100,0.03,0.02,0.1,1000,0.1,0.32249729676,0.17133405235,0.0989248817
0.1,100,0.03,0.02,0.1,2000,0.15,0.33179128225,0.17394081323,0.09920932156
0.1,100,0.03,0.02,0.1,3000,0.3,0.33400132922,0.17233425812,0.09916512761
0.1,100,0.03,0.02,0.1,5000,0.46,0.33347341676,0.17223267946,0.09926895689
0.1,100,0.03,0.02,0.1,10000,0.77,0.3349372757,0.17281592939,0.09915308573
0.1,100,0.05,0.005,0.02,1000,0.14,0.52538105394,0.1980528865,0.0989248817
0.1,100,0.05,0.005,0.02,2000,0.37,0.53104495013,0.20370367585,0.09920932156
0.1,100,0.05,0.005,0.02,3000,0.48,0.52781098863,0.20601812776,0.09916512761
0.1,100,0.05,0.005,0.02,5000,0.75,0.53276003589,0.20861321639,0.09926895689
0.1,100,0.05,0.005,0.02,10000,0.94,0.5377946361,0.20577501871,0.09915308573
0.1,100,0.05,0.005,0.05,1000,0.28,0.71835280778,0.1885196381,0.0989248817
0.1,100,0.05,0.005,0.05,2000,0.48,0.72228997067,0.19109208076,0.09920932156
0.1,100,0.05,0.005,0.05,3000,0.66,0.71458055817,0.19056913244,0.09916512761
0.1,100,0.05,0.005,0.05,5000,0.83,0.71175790239,0.19071700674,0.09926895689
0.1,100,0.05,0.005,0.05,10000,0.99,0.71470884045,0.19177116152,0.09915308573
0.1,100,0.05,0.005,0.1,1000,0.23,0.83961633835,0.16724886968,0.0989248817
0.1,100,0.05,0.005,0.1,2000,0.48,0.83571209436,0.17011117906,0.09920932156
0.1,100,0.05,0.005,0.1,3000,0.71,0.83175185935,0.16930006758,0.09916512761
0.1,100,0.05,0.005,0.1,5000,0.83,0.83186390034,0.16920154127,0.09926895689
0.1,100,0.05,0.005,0.1,10000,1,0.83223732294,0.17004823024,0.09915308573
0.1,100,0.05,0.01,0.02,1000,0.12,0.28440278127,0.21351751311,0.0989248817
0.1,100,0.05,0.01,0.02,2000,0.25,0.28019141711,0.21670461511,0.09920932156
