h2_p	N_causal_SNPs	vr	freq_r	k	N_samples	seed	median_mut	median_ref	p_wilcox	h2_rare	penetrance	h2_poly_est	var_y	mean_prs	mean_prs_cases	r_prs_est_with_rv	r_prs_est_without_rv	mean_prs_cases_est_with_rv	mean_prs_cases_est_without_rv
0.5	100	0.01	0.01	0.05	5000	28	0.665978997	1.075821432	0.03096068	0.01	0.203539823	0.504806459	1	-2.93E-17	1.047820629	0.980892709	0.981732907	0.091894691	0.117815939
0.5	100	0.01	0.01	0.05	5000	29	0.798357695	1.071743692	0.05093294	0.01	0.24742268	0.522337492	1	1.31E-17	1.075562584	0.982702318	0.982119123	0.044053145	0.062036934
0.5	100	0.01	0.01	0.05	5000	30	0.667040829	1.058024858	0.005218385	0.01	0.188888889	0.553688633	1	-3.48E-17	1.026890362	0.981021984	0.980368427	-0.059208592	-0.041187126
0.5	100	0.01	0.01	0.05	5000	31	0.704345291	0.983378881	0.044911293	0.01	0.226415094	0.441300568	1	-2.41E-17	0.956917117	0.984664129	0.984970983	-0.008454901	0.002349388
0.5	100	0.01	0.01	0.05	5000	32	0.587527684	0.847059745	0.070002444	0.01	0.178217822	0.384336527	1	1.35E-17	0.826211238	0.980061437	0.979526576	-0.084951144	-0.073739794
0.5	100	0.01	0.01	0.05	5000	33	0.543677181	1.102970488	0.000965356	0.01	0.193877551	0.51203764	1	4.12E-17	1.068126835	0.983130619	0.983402271	0.050076989	0.092221199
0.5	100	0.01	0.01	0.05	5000	34	0.364519047	0.998605536	0.016548169	0.01	0.100917431	0.485183944	1	-4.63E-17	0.979599215	0.982914069	0.983031145	-0.201131061	-0.192916995
0.5	100	0.01	0.01	0.05	5000	35	0.835653064	1.114953094	0.10241281	0.01	0.117021277	0.543522753	1	-2.58E-17	1.099246612	0.984563099	0.984234797	-0.056333669	-0.0422078
0.5	100	0.01	0.01	0.05	5000	36	0.585676201	0.812615459	0.236110403	0.01	0.202020202	0.38032876	1	-3.38E-17	0.789639777	0.971348846	0.971378186	0.06421684	0.081420361
0.5	100	0.01	0.01	0.05	5000	37	0.76006317	1.091926176	0.145754319	0.01	0.153061224	0.534684935	1	4.11E-18	1.06816761	0.980169001	0.980270506	-0.074375101	-0.063664499
0.5	100	0.01	0.01	0.05	5000	38	0.757762161	0.937972625	0.532432255	0.01	0.176470588	0.446711997	1	6.30E-18	0.968824824	0.982422912	0.982007963	0.050703254	0.068287389
0.5	100	0.01	0.01	0.05	5000	39	0.763755807	0.988486504	0.161782733	0.01	0.197802198	0.492349911	1	2.99E-17	0.979395851	0.986928137	0.986443177	0.01776882	0.030871667
0.5	100	0.01	0.01	0.05	5000	40	0.564210625	1.023592505	0.031207368	0.01	0.157894737	0.488353459	1	2.45E-17	1.007607435	0.975651413	0.975365793	-0.026520337	-0.010724256
0.5	100	0.01	0.01	0.05	5000	41	0.825887198	1.18822468	0.029384748	0.01	0.193877551	0.544439984	1	9.50E-18	1.134815338	0.981915322	0.98238283	0.086307705	0.103005084
0.5	100	0.01	0.01	0.05	5000	42	0.997455253	1.117565394	0.194860488	0.01	0.163043478	0.532252734	1	-2.66E-17	1.090905228	0.979692718	0.979928034	-0.018510428	-0.004892958
0.5	100	0.01	0.01	0.05	5000	43	0.83356148	1.088221634	0.182439531	0.01	0.16091954	0.506809575	1	1.21E-17	1.093961527	0.982577118	0.982530148	0.035648731	0.049786705
0.5	100	0.01	0.01	0.05	5000	44	0.683428871	1.228621663	0.003975632	0.01	0.17	0.6447259	1	2.62E-17	1.178670497	0.989041313	0.988685266	-0.015612432	-0.00204972
0.5	100	0.01	0.01	0.05	5000	45	0.564902128	1.328614572	0.00368065	0.01	0.132075472	0.6449565	1	-4.33E-17	1.305959605	0.988284616	0.988193398	-0.020752817	-0.006926991
0.5	100	0.01	0.01	0.05	5000	46	0.487178645	0.980257356	0.001215356	0.01	0.14	0.464514996	1	-1.11E-17	0.995799214	0.983611208	0.98355864	-0.119913602	-0.107579086
0.5	100	0.01	0.01	0.05	5000	47	0.631320504	1.015091743	0.026330292	0.01	0.174757282	0.471245119	1	-1.59E-17	0.959730746	0.98326973	0.984010769	-0.019728723	-0.005448556
0.5	100	0.01	0.01	0.05	5000	48	0.683687373	1.001341223	0.059700187	0.01	0.188888889	0.472164772	1	-2.32E-17	1.010574228	0.977580175	0.976489944	0.145330769	0.154995386
0.5	100	0.01	0.01	0.05	5000	49	0.624268745	1.117119087	0.021403555	0.01	0.101010101	0.551669018	1	6.00E-17	1.128878068	0.981400184	0.981338872	0.04897742	0.059093488
0.5	100	0.01	0.01	0.05	5000	50	0.683161109	1.04800132	0.000895326	0.01	0.192771084	0.500285588	1	-7.40E-17	1.066397846	0.979749106	0.97966941	-0.029213502	-0.015595058
0.5	100	0.01	0.01	0.05	5000	51	0.805671469	1.007115164	0.167715643	0.01	0.240506329	0.503569019	1	-1.74E-17	1.00277723	0.979244713	0.979750611	0.156084508	0.179459068
0.5	100	0.01	0.01	0.05	5000	52	0.599187982	0.869250182	0.001889316	0.01	0.163265306	0.386604076	1	2.55E-17	0.851793895	0.980415674	0.979302252	-0.050805186	-0.035747636
0.5	100	0.01	0.01	0.05	5000	53	1.000259743	0.957178155	0.704446563	0.01	0.154639175	0.485101301	1	-4.84E-17	0.95187418	0.981129914	0.980632161	0.019271407	0.034161958
0.5	100	0.01	0.01	0.05	5000	54	0.647047818	0.993994931	0.007399928	0.01	0.168421053	0.502626367	1	-7.90E-17	1.00159686	0.980487413	0.98012347	0.036930872	0.052916323
0.5	100	0.01	0.01	0.05	5000	55	0.842816788	0.965301433	0.110591853	0.01	0.145454545	0.449003059	1	2.52E-17	0.999173727	0.982797406	0.982616415	-0.05943308	-0.047197905
0.5	100	0.01	0.01	0.05	5000	56	0.438503135	0.975980593	0.004680617	0.01	0.142857143	0.445875756	1	-7.07E-17	0.927928002	0.982802775	0.982893811	-0.079312624	-0.068278963
0.5	100	0.01	0.01	0.05	5000	57	0.713317775	1.209774502	0.001977946	0.01	0.131578947	0.618311962	1	1.53E-17	1.198481803	0.98080297	0.981008418	-0.012950598	-0.002605805
0.5	100	0.01	0.01	0.05	5000	58	0.707557409	1.003080869	0.059361767	0.01	0.184210526	0.450043987	1	-1.89E-17	0.975246493	0.977897906	0.977359037	0.031415883	0.049770714
0.5	100	0.01	0.01	0.05	5000	59	0.849132582	1.059045011	0.029337234	0.01	0.218487395	0.488255867	1	1.36E-17	1.023470804	0.981291348	0.980945057	0.012207545	0.029358636
0.5	100	0.01	0.01	0.05	5000	60	0.714356422	1.008527924	0.030890265	0.01	0.191919192	0.446621141	1	-1.64E-17	0.972091006	0.980526107	0.979719504	0.061358994	0.083998187
0.5	100	0.01	0.01	0.05	5000	61	0.84981395	1.089813903	0.016901613	0.01	0.155339806	0.524742594	1	4.37E-18	1.064585353	0.982153334	0.98166417	0.036956487	0.048937688
0.5	100	0.01	0.01	0.05	5000	62	0.665117471	1.154291177	0.000623858	0.01	0.212121212	0.542417737	1	9.28E-18	1.105781032	0.983870179	0.98407013	0.051394665	0.064350115
0.5	100	0.01	0.01	0.05	5000	63	0.635352506	1.044702267	0.003495443	0.01	0.147058824	0.508775151	1	8.28E-17	1.031626822	0.981900235	0.981620884	0.014222141	0.030261234
0.5	100	0.01	0.01	0.05	5000	64	0.544888836	0.915008084	0.02616932	0.01	0.139534884	0.449202825	1	4.09E-17	0.937857116	0.974195542	0.974089807	-0.133055865	-0.120706539
0.5	100	0.01	0.01	0.05	5000	65	0.690850865	1.283840567	6.51E-05	0.01	0.188118812	0.670768868	1	3.39E-17	1.252338803	0.982336213	0.982307954	0.016540434	0.031115965
0.5	100	0.01	0.01	0.05	5000	66	0.842926636	1.023440373	0.037592262	0.01	0.177570093	0.467028046	1	3.45E-17	1.002682366	0.986560546	0.986369953	0.03152941	0.044882128
0.5	100	0.01	0.01	0.05	5000	67	0.713522989	1.068202562	0.003575299	0.01	0.230769231	0.483229737	1	-6.75E-19	1.050514043	0.979468553	0.979386177	0.122969457	0.143882685
0.5	100	0.01	0.01	0.05	5000	68	0.639277431	0.920491039	0.003797992	0.01	0.216494845	0.42510813	1	3.37E-17	0.885727388	0.980269972	0.980416427	-0.015521737	-0.001279188
0.5	100	0.01	0.01	0.05	5000	69	0.47622028	0.899216543	0.013349568	0.01	0.208333333	0.422006515	1	-4.69E-18	0.88416365	0.976551577	0.97671532	-0.013393662	0.000514724
0.5	100	0.01	0.01	0.05	5000	70	0.649438868	1.056985015	0.005463741	0.01	0.265957447	0.477681308	1	5.12E-17	1.010406863	0.982595259	0.981392602	0.079625858	0.102048659
0.5	100	0.01	0.01	0.05	5000	71	0.775723111	1.131813943	0.049905699	0.01	0.159292035	0.565710479	1	2.24E-17	1.125004505	0.986762572	0.986516504	-0.020866614	-0.003867678
0.5	100	0.01	0.01	0.05	5000	72	0.838643142	1.02730482	0.258447829	0.01	0.134146341	0.500292433	1	-2.64E-17	1.014135856	0.979906633	0.980171544	0.07953552	0.091767174
0.5	100	0.01	0.01	0.05	5000	73	1.176488153	1.342759103	0.108854971	0.01	0.14893617	0.681703319	1	-5.00E-17	1.337917073	0.986295356	0.9860362	-0.045645752	-0.033200425
0.5	100	0.01	0.01	0.05	5000	74	0.61072827	0.888461277	0.019020474	0.01	0.130841121	0.435309236	1	8.65E-18	0.883761859	0.978642764	0.978535703	-0.000730738	0.010046196
0.5	100	0.01	0.01	0.05	5000	75	0.61272878	0.888700816	0.029575153	0.01	0.201754386	0.377650152	1	-6.80E-17	0.835683297	0.977324556	0.976966244	-0.08300878	-0.067114788
